Nazwa_handlowa,Angielska_nazwa,Inter_substancja_aktywna,Inter_produkty_spozywcze,Skutek_uboczny,Zalecenia,interakcje z dzialaniami,Interakcje,Strona,Substancja_aktywna,Wskazania,,,,,,,,,,,,,,,,,,,,,,,,,,Wskazania,Choroby
Alemtuzumab,Alemtuzumab,,,,nie stosowac z innymi lekami,,"Nie wolno stosowaÄ‡ w jednej infuzji roztworu alemtuzumabu oraz innych lekÃ³w.
",https://www.doz.pl//leki/w32-Alemtuzumab,alemtuzumab,"Alemtuzumab jest wskazany do stosowania u dorosÅ‚ych pacjentÃ³w z aktywnÄ… rzutowo-ustÄ™pujÄ…cÄ… postaciÄ… stwardnienia rozsianego (RRMS), potwierdzonÄ… przez objawy kliniczne lub wyniki diagnostyki obrazowej.",,,,,,,,,,,,,,,,,,,,,,,,,,stwardnienie rozsiane,
Alfakalcydol,Alfacalcidol,,produkty mleczne,,,,"Podczas terapii alfakalcydolem naleÅ¼y ograniczyÄ‡ produkty mleczne w diecie, z uwagi na ryzyko hiperkalcemii (podwyÅ¼szonego poziomu wapnia we krwi).
AlfakalcydolÂ w zwiÄ…zku ze zwiÄ™kszaniem poziomu wapnia we krwi, nasila toksycznoÅ›Ä‡ glikozydÃ³w nasercowych. SÄ… one skÅ‚adnikami preparatÃ³w zioÅ‚owych zawierajÄ…cych: Digitalis purpurea (naparstnica purpurowa), Digitalis lanata (naparstnica weÅ‚nista), Adonis vernalis (miÅ‚ek wiosenny), Convallaria majalis (konwalia majowa).
",https://www.doz.pl//leki/w34-Alfakalcydol,alfakalcydol,"Alfakalcydol jest stosowany w leczeniu niedoboru wapnia w organizmie (hipokalcemii), zwÅ‚aszcza u osÃ³b z zaburzeniami hydroksylacji witaminy D w nerkach, np. z powodu niewydolnoÅ›ci nerek. Wskazaniem do terapii alfakalcydolem jest m.in. osteoporoza pomenopauzalna i starcza przebiegajÄ…ca z niedoborem witaminy D lub jej aktywnych metabolitÃ³w. Ponadto alfakalcydol stosuje siÄ™ w przypadku:",,,,,,,,,,,,,,,,,,,,,,,,,,hipokalcemia,
Alfuzosyna,Alfuzosin,,,,,spadek cisnienia tetniczego,"Sam lek nie wpÅ‚ywa na zdolnoÅ›Ä‡ prowadzenia pojazdem. Warto jednak rozwaÅ¼yÄ‡, czy jego efekty uboczne, takie jak: zawroty gÅ‚owy, sennoÅ›Ä‡, osÅ‚abienie, nie wpÅ‚ynÄ… na bezpieczeÅ„stwo jazdy.
MogÄ… wystÄ…piÄ‡ interakcje z lekami sÅ‚uÅ¼Ä…cymi doÂ znieczulenia ogÃ³lnego, objawiajÄ…ce siÄ™ spadkiemÂ ciÅ›nienia tÄ™tniczego. W zwiÄ…zku z tym zaleca siÄ™ odstawienie preparatÃ³w z alfuzosynÄ… na 24 h przed zabiegami przebiegajÄ…cymi w znieczuleniu ogÃ³lnym.
",https://www.doz.pl//leki/w36-Alfuzosyna,"alfuzosyna, alfuzosyny chlorowodorek",Leczenie objawÃ³w (umiarkowanych do ciÄ™Å¼kich)Â Å‚agodnego rozrostu gruczoÅ‚u krokowego.,,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Alirokumab,Alirocumab,,,,stosowac przy odpowiedniej masie ciala,,"Nie wykazano, aby alirokumabÂ wchodziÅ‚Â w interakcje z Å¼ywnoÅ›ciÄ….
Podczas przeprowadzonych badaÅ„, nie wykazano interakcji alirokumabu z alkoholem.
Na farmakokinetykÄ™ alirokumabu ma wpÅ‚yw masaÂ ciaÅ‚a.Â Wykazano, Å¼e naraÅ¼enie na alirokumabÂ w stanie stacjonarnymÂ u pacjentÃ³w o masie ciaÅ‚a powyÅ¼ej 100 kg, byÅ‚o zmniejszone w stosunkuÂ doÂ pacjentÃ³wÂ o masie ciaÅ‚a w zakresie od 50 do 100 kg.
",https://www.doz.pl//leki/w39-Alirokumab,alirokumab,"Alirokumab jest przeciwciaÅ‚em monoklonalnym pobudzajÄ…cym aktywnoÅ›Ä‡ inhibitora konwertazy proproteinowej subtylizyny keksyny typu 9 (PCSK9).Â Wskazany jest u pacjentÃ³wÂ dorosÅ‚ych z hipercholesterolemiÄ… pierwotnÄ… lub z dyslipidemiÄ… mieszanÄ…, jako uzupeÅ‚nienie leczenia dietetycznego. MoÅ¼e byÄ‡ stosowanyÂ samodzielnie (u pacjentÃ³w, z nietolerancjÄ… statynÂ lub u ktÃ³rych stosowanie statyn jest przeciwwskazane) lub w poÅ‚Ä…czeniu z innymi lekami obniÅ¼ajÄ…cymi stÄ™Å¼enie lipidÃ³w (statynami, ezetymibem)Â w celu lepszej kontroli obniÅ¼enia poziomu lipoprotein LDL-CÂ w organizmie.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,hipocholesterol,
Aliskiren,Aliskiren,,alkohol,,,spadek cisnienia tetniczego,"W trakcie terapii aliskirenem naleÅ¼y ograniczyÄ‡ spoÅ¼ywanie tÅ‚ustych potraw, poniewaÅ¼ mogÄ… one prowadziÄ‡ do zmniejszenia wchÅ‚aniania aliskirenu.Â 
Nie naleÅ¼y Å‚Ä…czyÄ‡ aliskirenu z alkoholem ze wzglÄ™du na ryzyko bezpoÅ›rednio po spoÅ¼yciu na wystÄ…pienia niedociÅ›nienia.
W trakcie kuracji aliskirenem nie naleÅ¼y przyjmowaÄ‡ preparatÃ³w dziurawca, ktÃ³ry zmniejsza dostÄ™pnoÅ›Ä‡ biologicznÄ… aliskirenu.
",https://www.doz.pl//leki/w40-Aliskiren,aliskiren,"Aliskiren jest zarejestrowany w leczeniu nadciÅ›nienia tÄ™tniczego zarÃ³wno w monoterapii jak rÃ³wnieÅ¼ w skojarzeniu z blokerami kanaÅ‚Ã³w wapniowych i tiazydami, celem lepszej kontroli ciÅ›nienia tÄ™tniczego.",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
Alitretynoina,Alitretinoin,,,,,zwiekszenie aktywnosci kinazy fosfokreatynowej w surowicy krwi,"Pokarm zwiÄ™ksza ogÃ³lnoustrojowÄ… ekspozycjÄ™ alitretynoiny 4 krotnie, jednoczeÅ›nie zmniejszajÄ…c zmiennoÅ›Ä‡ ekspozycji.
Alitretynoina moÅ¼e zwiÄ™kszaÄ‡ aktywnoÅ›Ä‡ kinazy fosfokreatynowej w surowicy krwi.
",https://www.doz.pl//leki/w41-Alitretynoina,alitretynoina,"Wskazaniem do stosowania alitrytenoiny jest ciÄ™Å¼ki przewlekÅ‚y wyprysk rÄ…k, ktÃ³ry nie ulegÅ‚ poprawie po kuracjiÂ  lekami dziaÅ‚ajÄ…cymi miejscowo w tym silnymi kortykosteroidami. Lek do stosowania wyÅ‚Ä…cznie u osÃ³b dorosÅ‚ych.",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Allopurynol,Allopurinol,,,,,"sennosc, zawroty głowy","U pacjentÃ³w stosujÄ…cych allopurynol wystÄ…piÅ‚y dziaÅ‚ania takie jak: sennoÅ›Ä‡, zawroty gÅ‚owy oraz ataksja, dlatego przed przystÄ…pieniem do prowadzenia pojazdu lub obsÅ‚ugi maszyn potencjalnie niebezpiecznych naleÅ¼y upewniÄ‡ siÄ™ czy dziaÅ‚ania te ustÄ…piÅ‚y.
",https://www.doz.pl//leki/w44-Allopurynol,"allopurinol, allopurynol","Allopurynol to lek zmniejszajÄ…cy stÄ™Å¼enie kwasu moczowego we krwi oraz w moczu. Stosuje siÄ™ go w chorobach powiÄ…zanych ze zbyt wysokim poziomem kwasu moczowego w organizmie (czyli hiperurykemiÄ…), np.:",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Almotryptan,Almotriptan,,dziurawiec,,,,"PosiÅ‚ek nie zmienia wchÅ‚aniania substancji.
RÃ³wnolegÅ‚e stosowanie z almotryptanem preparatÃ³w ziela dziurawca moÅ¼e powodowaÄ‡ nasilenie dziaÅ‚aÅ„ niepoÅ¼Ä…danych almotryptanu.
",https://www.doz.pl//leki/w45-Almotryptan,"jabÅ‚czan almotryptanu, maleinian almotryptanu",Almotryptan jest stosowany w leczeniu migrenowych bÃ³lÃ³w gÅ‚owy z aurÄ… lub bez aury.,,,,,,,,,,,,,,,,,,,,,,,,,,migrena,
Alogliptyna,Alogliptin,,,,zachowac ostroznosc w trakcie prowadzenia pojazdow,,"Alogliptynyna nie ma wpÅ‚ywu lub wywiera niewielki wpÅ‚yw na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w i obsÅ‚ugiwania maszyn. W terapii skojarzonej z pochodnÄ… sulfonylomocznika, insulinÄ… lub z tiazolidynodionem i metforminÄ…, moÅ¼e powodowaÄ‡ hipoglikemiÄ™ (niedocukrzenie), co jest wskazaniem do zachowania ostroÅ¼noÅ›ci w trakcie prowadzenia pojazdÃ³w i maszyn w ruchu.
",https://www.doz.pl//leki/w46-Alogliptyna,alogliptyna,"Alogliptyna jest stosowana u osÃ³b dorosÅ‚ych w leczeniu cukrzycy typu 2, jako dodatek do diety i Ä‡wiczeÅ„ fizycznych, w celu zwiÄ™kszenia stÄ™Å¼enia insuliny w organizmie po posiÅ‚ku oraz zmniejszenia stÄ™Å¼enia cukru we krwi.",,,,,,,,,,,,,,,,,,,,,,,,,,cukrzyca,
Alprazolam,Alprazolam,,"grejpfrut, alkohol, tyton",,,,"U niektÃ³rych pacjentÃ³w zaobserwowano nadmierne uspokojenie przy spoÅ¼ywaniu soku grejpfrutowego podczas terapii alprazolamem. W trakcie terapii substancjÄ… zaleca siÄ™ unikanie picia duÅ¼ych iloÅ›ci soku grejpfrutowego, gdyÅ¼ moÅ¼e on dziaÅ‚aÄ‡ hamujÄ…co na metabolizm alprazolamu.
Nie wolnoÂ spoÅ¼ywaÄ‡ alkoholu w trakcie leczenia alprazolamem. Alkohol nasila dziaÅ‚anie depresyjne na centralny ukÅ‚ad nerwowy, nasilajÄ…c dziaÅ‚ania niepoÅ¼Ä…dane substancji. Przy jednoczesnym stosowaniu alkoholu mogÄ… wystÄ…piÄ‡ nadmierne uspokojenie, zaburzenia koncentracji i koordynacji, a takÅ¼e groÅºne powikÅ‚ania krÄ…Å¼eniowo-oddechowe.
Dym tytoniowy jako stymulator centralnego ukÅ‚adu nerwowego moÅ¼e obniÅ¼aÄ‡ skutecznoÅ›Ä‡ leczenia benzodiazepinami, tym samym u palaczy alprazolam moÅ¼e dziaÅ‚aÄ‡ sÅ‚abiej i istnieje koniecznoÅ›Ä‡ zwiÄ™kszenia dawki leku u osÃ³b palÄ…cych. Z kolei przy rzucaniu palenia tytoniu, zwÅ‚aszcza jeÅ›li wypalano duÅ¼Ä… iloÅ›Ä‡ papierosÃ³w, moÅ¼e okazaÄ‡ siÄ™ konieczne zmniejszenie dawki leku.
",https://www.doz.pl//leki/w47-Alprazolam,alprazolam,"Alprazolam stosuje siÄ™ w rÃ³Å¼nych stanach lÄ™kowych, ktÃ³re uniemoÅ¼liwiajÄ… codzienne funkcjonowanie. SubstancjÄ™ wykorzystuje siÄ™ do krÃ³tkotrwaÅ‚ego, objawowegoÂ leczenia:",,,,,,,,,,,,,,,,,,,,,,,,,,depresja,
Alteplaza,Alteplase,,"czosnek, imbir, borowka czarna",,,,"Takie pokarmy jak czosnek, imbir i borÃ³wka czarna nasilajÄ… trombolityczne dziaÅ‚anie alteplazy.
WyciÄ…g z miÅ‚orzÄ™bu japoÅ„skiego (Ginko biloba) moÅ¼e nasilaÄ‡ dziaÅ‚anie trombolityczne alteplazy.
",https://www.doz.pl//leki/w49-Alteplaza,alteplaza,"Alteplaza jest biaÅ‚kiem z grupy glikoprotein, nazywanym ludzkim aktywatorem plazminogenu. Jej wykorzystanie w lecznictwie opiera siÄ™ na dziaÅ‚aniu aktywujÄ…cym przemianÄ™ plazminogenu do plazminy. Plazmina to enzym ktÃ³ry rozkÅ‚ada wÅ‚Ã³knik. Powoduje to rozpuszczanie skrzepÃ³w. Alteplaza stosowana jest w przypadku Å›wieÅ¼ego zawaÅ‚u miÄ™Å›nia sercowego, w zatorowoÅ›ci pÅ‚ucnej oraz w terapii trombolitycznej w przypadku ostrego udaru niedokrwiennego.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,zawal serca,
Amantadyna,Amantadine,,alkohol,,,,"Nie naleÅ¼y Å‚Ä…czyÄ‡ amantadyny i alkoholu ze wzglÄ™du na nasilenie dziaÅ‚ania toksycznego na oÅ›rodkowy ukÅ‚ad nerwowy i zmniejszenie tolerancji alkoholu.
",https://www.doz.pl//leki/w51-Amantadyna,"amantadyna, chlorowodorek amantadyny, siarczan amantadyny","Amantadyna jest stosowania w Å‚agodzeniu objawÃ³w grypy typu A i nerwobÃ³lu po przebytym pÃ³Å‚paÅ›cu,Â w leczeniu objawÃ³w choroby Parkinsona, takich jak spowolnienie ruchowe, drÅ¼enie koÅ„czyn, sztywnoÅ›Ä‡ miÄ™Å›niowa, niestabilnoÅ›Ä‡ postawy. Wskazaniem do stosowania amantadyny sÄ… takÅ¼e dystonie (mimowolne ruchy) iÂ akatyzje (chÄ™Ä‡ bycia w ciÄ…gÅ‚ym ruchu) indukowane innymi lekami (np. przeciwpsychotycznymi). W warunkach szpitalnych lek jest wykorzystywany w leczeniu zaburzeÅ„ Å›wiadomoÅ›ci i stanu czuwania.",,,,,,,,,,,,,,,,,,,,,,,,,,grypa,
Ambazon,Ambazone,,,,powstrzymac sie od posiłkow 2-3 godziny,,"Pokarm moÅ¼e osÅ‚abiaÄ‡ siÅ‚Ä™ dziaÅ‚ania ambazonu. Zaleca siÄ™ stosowanie 15 minut po posiÅ‚ku, a po zastosowaniu powstrzymaÄ‡ siÄ™ od jedzenia przez 2 - 3 godziny.
",https://www.doz.pl//leki/w52-Ambazon,"ambazon, ambazon jednowodny","Ambazon to preparatÂ stosowany w monoterapii lub wspomagajÄ…cyÂ w zakaÅ¼eniach jamy ustnej i gardÅ‚a, rÃ³wnieÅ¼ w obrÄ™bie migdaÅ‚kÃ³w, dziÄ…seÅ‚ oraz po zabiegach takich jak usuniÄ™cie migdaÅ‚kÃ³w czy zÄ™ba.",,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie gardła,
Ambenonium,Ambenonium,,,,zachowac ostroznosc w trakcie prowadzenia pojazdow,,"Brak jest danych na temat negatywnego wpÅ‚ywu ambenonium na prowadzenie pojazdÃ³w. JednakÅ¼e jeÅ›li u pacjenta dojdzie do zwÄ™Å¼enia Åºrenic, niewyraÅºnego widzenia, lÄ™ku lub zawrotÃ³w gÅ‚owy moÅ¼e siÄ™ to realnie przekÅ‚adaÄ‡ na sprawnoÅ›Ä‡ psycho-fizycznÄ…. NaleÅ¼y wÃ³wczas zachowaÄ‡ ostroÅ¼noÅ›Ä‡ podczas prowadzenia i obsÅ‚ugiwania urzÄ…dzeÅ„ mechanicznych w ruchu.
",https://www.doz.pl//leki/w53-Ambenonium,"ambenonium, chlorek ambenonium",Ambenonium jest rekomendowane do leczenie objawowego miastenii (miastenia gravis) - nuÅ¼liwoÅ›ci miÄ™Å›ni. Poza PolskÄ… jest rÃ³wnieÅ¼ zarejestrowane w terapii pooperacyjnej atonii jelit i pÄ™cherza moczowego.,,,,,,,,,,,,,,,,,,,,,,,,,,migrena,
Ambrisentan,Ambrisentan,,,,,uszkodzenie watroby,"PoniewaÅ¼ ambrisentan jest stosunkowo nowym lekiem i istnieje zbyt maÅ‚a liczba badaÅ„ dotyczÄ…cych interakcji tego leku z Å¼ywnoÅ›ciÄ…,Â na chwilÄ™ obecnÄ…Â zakÅ‚ada siÄ™, Å¼e nie istniejÄ… Å¼adne znaczÄ…ce klinicznie interakcje z poÅ¼ywieniem.
Dane na temat interakcji ambrisentanu z alkoholem sÄ… doÅ›Ä‡ ograniczone. JednakÅ¼e biorÄ…c pod uwagÄ™ gÅ‚Ã³wne przeciwwskazania ambrisentanu (ciÄ™Å¼ka niewydolnoÅ›Ä‡ wÄ…troby) moÅ¼na spodziewaÄ‡ siÄ™, Å¼e jednoczesne stosowanie alkoholu, ktÃ³ry negatywnie wpÅ‚ywa na czynnoÅ›Ä‡ wÄ…troby, moÅ¼e dodatkowo nasilaÄ‡ jej uszkodzenie.
",https://www.doz.pl//leki/w54-Ambrisentan,ambrisentan,"Ambrisentan jest stosowany w leczeniu tÄ™tniczego nadciÅ›nienia pÅ‚ucnego (z angielskiego PAH, pulmonary arterial hypertension, PAH) u dorosÅ‚ych pacjentÃ³w. Jest zarejestrowany w Europie, Kanadzie i USA w monoterapii, gdzie stosuje siÄ™ go, Å¼eby zwiÄ™kszyÄ‡Â zdolnoÅ›Ä‡ wysiÅ‚kowÄ…Â i zapobiecÂ pogorszeniuÂ stanu klinicznego pacjenta. Dodatkowo w USA stosuje siÄ™ go w skojarzeniu z tadalafilem w celuÂ zmniejszeniaÂ ryzykaÂ postÄ™pu choroby iÂ hospitalizacji pacjenta oraz zwiÄ™kszenia zdolnoÅ›ci wysiÅ‚kowej. Badania potwierdziÅ‚y skutecznoÅ›Ä‡ ambrisentanu zarÃ³wno w terapii pacjentÃ³w z idiopatycznymÂ lubÂ dziedzicznym tÄ™tniczym nadciÅ›nieniu pÅ‚ucnym, jak i u tych zÂ PAH zwiÄ…zanym z chorobami tkanki Å‚Ä…cznej. Badani pacjenci wykazywali objawy sklasyfikowane wedÅ‚ug WHO do klasy czynnoÅ›ciowej II i III tÄ™tniczego nadciÅ›nienia pÅ‚ucnego.",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
Ambroksol,Ambroxol,Amilorid,,,nie podawac w pierwszym trymestrze ciazy,,"Ambroksol przenika do Å‚oÅ¼yska, jednakÅ¼e nie wykazano szkodliwego wpÅ‚ywu przyjmowania tej substancjiÂ na przebieg ciÄ…Å¼y, rozwÃ³j zarodkaÂ i pÅ‚odu, porÃ³d orazÂ dalszy rozwÃ³j dziecka. NaleÅ¼y zachowaÄ‡ ostroÅ¼noÅ›Ä‡ podczas stosowania ambroksolu u kobiet w ciÄ…Å¼y. Nie zaleca siÄ™ podawania ambroksoluÂ w pierwszym trymestrze ciÄ…Å¼y.Â 
",https://www.doz.pl//leki/w55-Ambroksol,chlorowodorek ambroksolu,"Ambroksol, w postaci chlorowodorku ambroksolu, jest stosowany jako lek wykrztuÅ›ny w chorobach ukÅ‚adu oddechowego, z towarzyszÄ…cÄ… nieprawidÅ‚owoÅ›ciÄ… w wydzielaniu i transporcie Å›luzu oskrzelowego,Â takich jak:",,,,,,,,,,,,,,,,,,,,,,,,,,choroby nowotworowe,
Amidotryzoinian,Amidotrizoate,,,choroby tarczycy,,,"Podawanie amidotryzoinianu na czczo po wczeÅ›niejszymÂ oprÃ³Å¼nieniuÂ jelita zwiÄ™ksza skutecznoÅ›Ä‡ diagnostycznÄ… badania.
Diagnostyka i leczenie chorÃ³b tarczycy z zastosowaniem tyreotropowych radioizotopÃ³w mogÄ… byÄ‡ problemowe nawet do kilkudzieisiÄ™ciu dniÂ po zastosowaniu jodowych Å›rodkÃ³w kontrastowych, gdyÅ¼ powodujÄ… oneÂ zmniejszone wchÅ‚anianie radioizotopu.
",https://www.doz.pl//leki/w57-Amidotryzoinian,"amidotryzoinian, megluminy amidotryzoinian, sodu amidotryzoinian","Amidotryzoinian jest Å›odkiem diagnostycznym podawanym w postaci roztworu doustnieÂ  lub dododbytniczo. Stosowany jest w radiologicznej kontroli przewodu pokarmowego, w skojarzeniu z siarczanem baru lub w monoterapii, gdy siarczan baru jest niedozwolony. NaleÅ¼Ä… tu stany podejrzenia wystÄ…pienia trudnych do wykrycia metodami radiologicznymi wszelkich nieszczelnoÅ›ci rÃ³Å¼nych odcinkÃ³w przewodu pokarmowego, stany po caÅ‚kowitym lub czÄ™Å›ciowym chirurgicznym usuniÄ™ciu Å¼oÅ‚Ä…dka lub jelit. Wskazaniem do zastosowania amidotryzoinianu jako Å›rodka diagnostycznego jest przypuszczenie zaistnienia stanu nieprawidÅ‚owej droÅ¼noÅ›ci jelita cienkiego, niedroÅ¼noÅ›ci po zabiegu chirurgicznym lub krwotoku.Åšrodek ten jest rekomendowany rÃ³wnieÅ¼ w diagnostyce wszelkich ostrych stanÃ³w, ktÃ³re wymagajÄ… interwencji chirurgicznej, jak i w znaczym powiÄ™kszeniu i rozdÄ™ciu jelita grubego. Wykorzystywany jest takÅ¼e w obrazowaniu ciaÅ‚ obcych i tworÃ³w patologicznych przed badaniem za pomocÄ… Å›wiatÅ‚owodu zakoÅ„czonego narzÄ™dziami optycznymi (endoskopu) oraz w obrazowaniu przetok w ukÅ‚adzie pokarmowym.",,,,,,,,,,,,,,,,,,,,,,,,,,atnonia jelit,
Amikacyna,Amikacin,,,depresja oddechowa,,,"Brak badaÅ„ odnoÅ›nie wpÅ‚ywu amikacyny na prowadzenie maszyn i pojazdÃ³w. NaleÅ¼y jednak zachowaÄ‡ ostroÅ¼noÅ›Ä‡ z powodu niektÃ³rych dziaÅ‚aÅ„ niepoÅ¼Ä…danych leku.Â 
Podanie amikacyny razem z lekami wpÅ‚ywajÄ…cymi na przewodnictwo nerwowo-miÄ™Å›niowe (tubokuraryna, atrakurium)Â lub Å›rodkami znieczulajÄ…cymi (halotan) moÅ¼e doprowadziÄ‡ do wystÄ…pienia bloku nerwowo-miÄ™Å›niowego, ktÃ³ry jest zagroÅ¼eniem dla Å¼ycia pacjenta z powodu ryzyka depresji oddechowej.
",https://www.doz.pl//leki/w59-Amikacyna,"amikacyna, siarczan amikacyny",Amikacyna jest stosowana w postaci kropliÂ do oczu oraz roztworu do wstrzykiwaÅ„ domiÄ™Å›niowych lub doÅ¼ylnych.Â ,,,,,,,,,,,,,,,,,,,,,,,,,,zapalenie oka,
Amilorid,Amiloride,,alkohol,,,,"Amilorid naleÅ¼y zaÅ¼ywaÄ‡ podczas posiÅ‚ku. Pomaga to uniknÄ…Ä‡ podraÅ¼nieÅ„ ze strony przewodu pokarmowego. Podczas leczenia powinno unikaÄ‡ siÄ™ spoÅ¼ywania produktÃ³w bogatych w potas. PosiÅ‚ki zmniejszajÄ… wchÅ‚anialnoÅ›Ä‡ amiloridu o 30%.
Alkohol nasila hipotensyjne dziaÅ‚anie amiloridu.
Amilorid moÅ¼e faÅ‚szowaÄ‡ wyniki testÃ³w na czynnoÅ›Ä‡ przytarczyc. Lek wpÅ‚ywa na metabolizm wapnia.
",https://www.doz.pl//leki/w1404-Amilorid,"amilorid, amiloryd, chlorowodorek amilorydu",Amilorid to moczopÄ™dna substancja przeciwnadciÅ›nieniowa o dziaÅ‚aniu oszczÄ™dzajÄ…cym potas. Wskazaniami do stosowania amiloridu jest nadciÅ›nienie tÄ™tnicze w stopniu lekkim bÄ…dÅº umiarkowanym oraz zastoinowa niewydolnoÅ›Ä‡ miÄ™Å›nia sercowego. Lek jest ordynowany takÅ¼e w przypadku marskoÅ›ci wÄ…troby z wystÄ™pujÄ…cym wodobrzuszem i obrzÄ™kami.,,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
Aminofluorek,Amine,,mleko,,,,"BezpoÅ›rednie spoÅ¼ycie mleka (zawierajÄ…cego wapÅ„ orazÂ magnez) po zastosowaniu aminofluorku moÅ¼e zmniejszyÄ‡ skutecznoÅ›Ä‡ dziaÅ‚ania substancji.
",https://www.doz.pl//leki/w61-Aminofluorek,aminofluorek,"Aminofluorek stosowany jest w obrÄ™bie jamy ustnej w celuÂ profilaktyki prÃ³chnicy, przy niedorozwojuÂ tkanek twardych zÄ™bÃ³w, w odwapnieniu szkliwa, przy nadwraÅ¼liwoÅ›ci szyjek zÄ™bowych orazÂ po korekcie zgryzu urazowego.Â Â Aminofluorek stosuje siÄ™ rÃ³wnieÅ¼ na wraÅ¼liwe powierzchnie zÄ™bÃ³w powstaÅ‚e po noszeniu protez czÄ™Å›ciowych, aparatÃ³w ortodontycznych, klamrach oraz szynach.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,prochnica,
Amiodaron,Amiodarone,,,,nie stosowac w ciazy,uszkodzenie plodu,"PosiÅ‚ek nie ma wpÅ‚ywu na wchÅ‚anianie amiodaronu - zwiÄ…zek ten jest wystarczajÄ…co lipofilny, aby jego absorpcja zachodziÅ‚a na optymalnym poziomie. Lek ten moÅ¼na przyjmowaÄ‡ z posiÅ‚kiem lub bez.
Ze wzglÄ™duÂ na fakt, Å¼e zarÃ³wno amiodaron jak i etanolÂ podlegajÄ… metabolizmowi wÄ…trobowemu, przeciwwskazane jest spoÅ¼ywanie jakichkolwiek napojÃ³w alkoholowych podczas stosowania tego leku. PoÅ‚Ä…czenie tych dwÃ³ch substancji moÅ¼e przyczyniÄ‡ siÄ™ do powaÅ¼nych zaburzeÅ„ pracy wÄ…troby, w tymÂ nieodwracalnego uszkodzenia tego narzÄ…du.
Ze wzglÄ™du na fakt, Å¼e amiodaron moÅ¼e wpÅ‚ywaÄ‡ na tarczycÄ™ pÅ‚odu, przeciwwskazane jest stosowanie goÂ u kobiet ciÄ™Å¼arnych, z wyjÄ…tkiem sytuacji, gdy jest to bezwzglÄ™dnie konieczne (stan zagroÅ¼enia Å¼ycia bÄ…dÅº nieskutecznoÅ›Ä‡ innych lekÃ³w).
",https://www.doz.pl//leki/w63-Amiodaron,chlorowodorek amiodaronu,Amiodaron stosowany jest wÂ leczeniuÂ zagraÅ¼ajÄ…cych Å¼yciu zaburzeÅ„ rytmu serca:,,,,,,,,,,,,,,,,,,,,,,,,,,zaburzenie rytmu serca,
Amisulpryd,Amisulpride,,,,,obnizenie progu drgawkowego,"Amisulpryd zwiÄ™ksza dziaÅ‚anie oÅ›rodkowe alkoholu oraz powoduje obniÅ¼enie progu drgawkowego, co moÅ¼e mieÄ‡ znaczenie w okresie odstawiennym od alkoholu. Lek moÅ¼e nasilaÄ‡ dziaÅ‚ania alkoholu takie jak: zaburzenia rÃ³wnowagi, sprawnoÅ›ci i koordynacji ruchowej, spadek sprawnoÅ›ci intelektualnej, opÃ³Åºnienie czasu reakcji, sennoÅ›Ä‡, zaburzenia widzenia. Niesie to ryzyko groÅºnych upadkÃ³w, wypadkÃ³w w pracy oraz w trakcie obsÅ‚ugi urzÄ…dzeÅ„ mechanicznych.
",https://www.doz.pl//leki/w64-Amisulpryd,amisulpryd,"Amisulpryd stosuje siÄ™ w ostrym epizodzie i leczeniu przewlekÅ‚ym schizofrenii. DziaÅ‚a gÅ‚Ã³wnie na objawy negatywne (np. wycofanie spoÅ‚eczne, apatia, zuboÅ¼enie mowy i afektu), zmniejsza rÃ³wnieÅ¼ objawy pozytywne (np. urojenia, halucynacje).",,,,,,,,,,,,,,,,,,,,,,,,,,prochnica,
